label,eiaid,name,utility,source,zipcode,state,latitude,longitude,notes,ISO,Num_ISO
5964f3d15457a361024c9f92,14006,General Service Secondary Bundled (GS-2),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,"Available for secondary general service to customers with maximum demands greater than or equal
to 10 KW but less than 8,000 KW.",PJM,1
5964f7d85457a34a4a4c9f93,14006,General Service Primary Bundled (GS-2),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,Available for primary general service to customers whose maximum demand is greater than or equal to 10 kW but less than 8000 kW.,PJM,1
5964fc095457a3f4404c9f94,14006,General Service Transmission Bundled (GS-2),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,Available for general service to customers with demands exceeding 10 kW but less than 8000 kW,PJM,1
5964fd975457a30c144c9f92,14006,General Service Subtransmission Bundled (GS-2),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,Available for general service to customers with demands greater than 10 kW but less than 8000 kW.,PJM,1
596505a65457a3494a4c9f92,14006,General Service Secondary Bundled (GS-3),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,Available for service to customers whose demand exceeds 10 kW but does not exceed 8000 kW.,PJM,1
596509c25457a3494a4c9f93,14006,General Service Transmission Bundled (GS-3),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,This service is available for customers whose demand exceeds 10 kW but does not exceed 8000 kW.,PJM,1
59725afd5457a3d73b3f1f7d,5027,Separately Metered Water Heating Secondary Service,Delmarva Power,http://www.delmarva.com/uploadedFiles/wwwdelmarvacom/Master%20tariff%20eff%2006-1-2014%20filed%2005-23-14.pdf,19963,DE,38.9218,-75.4299,"This rate is to be billed in conjunction with ""SGS-ND"" & ""MGS-S"". It is currently closed to new customers. This rate is representative of the charges associated with Delmarva Power & Light Co.'s Delivery Service.",PJM,1
597661485457a3133e23732d,1167,Schedule G - Secondary,Baltimore Gas & Electric Co,https://www.bge.com/MyAccount/MyBillUsage/Documents/Electric/P3_SCH_G.pdf,21153,MD,39.4104,-76.713,For use for all purposes where the Customer does not qualify for any of the Company's other rate schedules.,PJM,1
597904075457a3e14d23732c,14711,General Service - Secondary( Single Phase less than 5KW),Pennsylvania Electric Co (New York),https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/New%20York/tariffs/Waverly%20PSC%206%20Tariff-2013.pdf,13732,NY,42.0556,-76.1519,"Available to Delivery Service Customers using electric service through a single delivery
location for lighting, heating and/or other power services, not included within the availability of
Service Classification No. 1 or Service Classification No. 2.
 Secondary voltage shall be supplied to Customers at a single transformer location when
load does not require transformer capacity in excess of 2,500 KVA. Transformers with capacity
of greater than 2,500 KVA, if available, may be provided, upon Customer request and at the sole
option of the Company.
 New Customers requiring transformer capacity in excess of 2,500 KVA and existing
Customers whose load increases such that a transformer change is required (over 2,500 KVA),
shall be required to take electric service at primary voltage.",NYISO,1
59790ac35457a3967923732c,14711,General Service - Secondary ( Single phase over 5KW),Pennsylvania Electric Co (New York),https://www.firstenergycorp.com/content/dam/customer/Customer%20Choice/Files/New%20York/tariffs/Waverly%20PSC%206%20Tariff-2013.pdf,13732,NY,42.0556,-76.1519,,NYISO,1
